,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_003819-T1,19,17,22.5,97,12,17,20.5,15,2
Tatro_003820-T1,1229.83,1263.33,1179.5,14391.44,1389.25,1528.33,2164.75,1857.7,977.71
Tatro_003821-T1,85.5,51,59.5,424.25,57,68,72,62.5,34
Tatro_003822-T1,370,292,370.5,2714.17,167.5,222,515.33,451.33,214.5
Tatro_003823-T1,1169,1179.33,1158.25,9102.67,936,964,1622.83,1364.33,650
Tatro_003824-T1,1,2.5,0,8.5,1,3,4,2,0
Tatro_003825-T1,36693.12,39781.92,84806.88,213211.7,25189.17,26022.42,34670.23,31509.75,20358.92
Tatro_003826-T1,143.5,159,148,736.58,97,113,156.5,147.25,96
Tatro_003827-T1,1685.53,1800.33,2012.33,9424.92,992.08,1099.5,1310,1214.33,608.5
Tatro_003828-T1,545.67,560.5,495.75,3575.5,367.5,389.5,756.83,706.5,329.5
Tatro_003829-T1,2,4,1,30,5,2,14.33,8,1
Tatro_003830-T1,549,627.33,884,3307.58,525,507,656.83,556.33,298
Tatro_003831-T1,81.58,76,106.17,389.58,44.83,41.5,59.67,60.67,32.5
Tatro_003832-T1,647.58,587.5,759.46,2275,281.83,272.5,457.67,380.17,232
Tatro_003833-T1,1953.17,2216,3750.33,12672.67,1792.33,1790.17,3761.42,3394.83,1940
Tatro_003834-T1,70.25,75,80.5,1093.58,85,93,130,114.5,52.5
Tatro_003835-T1,346.5,312.5,428.83,4259.2,382.67,358.5,1209.5,1089.5,524
Tatro_003836-T1,689,767.25,780.5,10541.87,1161.33,1169.83,14427.92,13716,7261
Tatro_003837-T1,16,15,15.5,254,26,37.5,256,241.2,133
Tatro_003838-T1,15.5,17,24,380.5,43,53,302.5,296,158.5
Tatro_003839-T1,10,4.5,9,74,5,10,7,8,5
Tatro_003840-T1,1,2,0,93.5,8,13,20.5,25,15
Tatro_003841-T1,9,11.5,8,276.5,24.5,28,80.75,85,41.5
Tatro_003842-T1,2914.83,2261.75,2170.08,20808.53,1851.53,2099.33,7300.08,6601.58,3327.83
Tatro_003843-T1,158,155.5,175,1710.33,137.5,112.5,330.5,328.5,158.5
Tatro_003844-T1,541,503.33,586,4260.08,439,391.5,713.5,691,292
Tatro_003845-T1,994.87,1107.75,1395.67,9324.08,924.83,1058.5,1625.67,1419.08,780.33
Tatro_003846-T1,1413.5,1528.75,1354.33,17501.33,1712.83,2030.17,2102.33,1769.33,901
Tatro_003847-T1,9,14.5,16,147.5,12,18,32.33,19.5,11
Tatro_003848-T1,462,374,333.33,4011.83,317,357.83,937.33,838.5,399
Tatro_003849-T1,2358.75,1121.83,469.5,47127.23,3814.75,4668.42,5345.33,4524.83,2134.42
Tatro_003851-T1,38,41.5,37,465,46,38.5,48,48,23.5
Tatro_003852-T1,3,2,2,38,7,7,10.5,4,8
Tatro_003853-T1,744.67,580.5,725.67,8823.58,806.33,899.5,1041.67,937.33,509.5
Tatro_003854-T1,172.5,183.75,190,1168.5,181,161.5,294,267.5,149.5
Tatro_003855-T1,180,143,178,2260.75,222.5,238,422.5,382,170
Tatro_003856-T1,2357.83,2402.5,2375.33,13620.92,1735.83,1787.33,4804.5,4255.67,2231.67
Tatro_003857-T1,3,0,1,15,1,4,6,1,5
Tatro_003858-T1,295.17,288.17,292.83,2478.95,274.08,297.17,458.42,417.92,204.67
Tatro_003858-T2,295.17,288.17,292.83,2478.95,274.08,297.17,458.42,417.92,204.67
Tatro_003859-T1,62,64.5,70,1051.75,159,152,402.33,327.33,198
Tatro_003860-T1,1635.53,1554.83,1600.33,12580.17,1221.33,1352,2193.75,2156.5,986
Tatro_003861-T1,59.83,91,75.33,395.08,63,55,105,75.17,40
Tatro_003862-T1,9,5,5,85.33,7,11,19,20,8
Tatro_003863-T1,3684.83,2236.17,905.67,67688.53,8338.5,9272.33,9222.42,7249.17,3439.25
Tatro_003864-T1,742,793.17,844.83,7238.58,811.25,855.5,1670,1511.33,757.75
Tatro_003865-T1,80.5,88.33,105,664.58,79,71,122,110.5,77
Tatro_003866-T1,169,171,220.5,1580.5,169.33,165,288.33,255,136
Tatro_003867-T1,777,807,773,5796.33,519.17,661,1026.17,969.83,450.83
Tatro_003868-T1,485.5,647.33,727,3933.12,511.5,531.5,1367.5,1257.83,689
Tatro_003869-T1,1877.67,1743.67,1903.75,16469.75,1430.83,1450,3202,2847.12,1343
Tatro_003870-T1,159.5,212.83,198.5,1582.25,164,166.83,251,237.5,118
Tatro_003871-T1,2686.5,2058.42,2969.2,16338.25,1632.33,1788.58,3187.33,2818,1534
Tatro_003872-T1,402.5,321.5,421,2373,265.5,253,655.5,559,278.33
Tatro_003873-T1,3963.5,3347.08,3569.25,21719.62,2220.08,2450.83,5314.5,4831.33,2306.75
Tatro_003874-T1,2694,2360.83,2587.25,29794.42,2468.5,2810.58,4700.42,4281.58,2083
Tatro_003875-T1,3119.83,3094.5,2997.87,23975.17,2860.67,3011,8380.08,7481.83,3702.33
Tatro_003876-T1,1099.5,984.33,1161.5,8594.92,798,804.5,1903.67,1873.33,914.5
Tatro_003877-T1,142.5,102.5,120,845.5,81,72.5,155.5,164.5,84
Tatro_003878-T1,4242.2,3999.08,4389.5,26123.71,2791.17,2984.58,5699.83,5282.83,2530.42
Tatro_003879-T1,425,524.58,474,2296.25,458.5,474,507,483.25,270.75
Tatro_003880-T1,3197,2605.17,5039.42,100302.6,9520.33,10076.5,16664.75,15206.75,7181.17
Tatro_003881-T1,9.5,8,10.83,272.5,26,30,47.5,37.5,14
Tatro_003882-T1,6.5,3,7,204.33,12.5,16.5,20,24,13.5
Tatro_003883-T1,40.33,36.5,26.25,1125.5,118,108,186.5,160,61.5
Tatro_003884-T1,0,0,0,2,0,1,3,1,0
Tatro_003885-T1,16322.87,13762.75,10061.25,99559.14,13391.33,14892.08,18529.2,14624.92,8669.58
Tatro_003886-T1,16.5,10,7,114,9.5,16.5,19.5,15,10
Tatro_003887-T1,1,0,0,5,1,0,0,1,0
Tatro_003888-T1,946.33,1050.92,1310.83,7658.03,858.83,940.5,2035,1927,951.5
Tatro_003889-T1,685.67,618.25,703,5181.33,492.03,565.83,1088.5,905.33,391.5
Tatro_003890-T1,1015.5,877,1293.25,9165.5,746.83,833.08,2056.67,1876,910
Tatro_003891-T1,3,1,0,9,1,2,2,0,1
Tatro_003892-T1,1,0,0,9.5,0,0.5,3.5,6,4
Tatro_003893-T1,620,754.67,375,8779.37,771,861.5,444.33,415,222
Tatro_003894-T1,4058.17,4623.75,4630.08,20766.08,2541.67,2923.33,3264.92,2805.83,1424
Tatro_003895-T1,12,10,10,149.5,20,11,43,30,9
Tatro_003896-T1,120,98.33,84.5,818.25,77.5,90.5,145,134.5,76
Tatro_003897-T1,837.83,839.5,720,6169.75,538,603,1019,851.5,394
Tatro_003898-T1,2832.67,3368.92,3955.83,20171.12,2981.08,3143.33,5435.92,4982.78,2901.08
Tatro_003899-T1,255.5,244.83,309.33,1590.5,177,162.33,365,295.75,173
Tatro_003900-T1,642.5,617,653.33,4500.58,440.67,441.17,710,679.83,303.83
Tatro_003901-T1,799.5,799.42,814.17,10064.58,931,975,1433.33,1254,622
Tatro_003902-T1,362.5,426,350.67,3353.75,433.5,496,613.5,522.5,278.83
Tatro_003903-T1,53,75,48,459.5,55.5,75,117.83,100,42
Tatro_003904-T1,1110.33,1020.83,962.17,10454.58,977.33,1166.5,1677.75,1523.33,822.25
Tatro_003905-T1,1368,1117.17,1189.17,10260.25,771,817,2477.17,2253.58,961
Tatro_003906-T1,431,458.33,329.5,4002.83,409.5,412,2408.08,2333.83,1097.75
Tatro_003907-T1,498.33,487.83,407,6050,507.83,554.5,752.5,755,352.5
Tatro_003908-T1,0,1,0,2.5,0,2,0,2,0
Tatro_003909-T1,2,1,3,11,1,2,5,4,1
Tatro_003910-T1,3767.5,4181.42,1986.67,40521.7,3822.67,4214,4084.08,3606.25,1758
Tatro_003911-T1,22.5,25,3.5,249.33,43,37,32,23.5,21
Tatro_003912-T1,1,0,0,0,0,0,0,2,0
Tatro_003913-T1,352.5,372.67,556.5,3616,415.33,414,660.5,645.58,324.75
Tatro_003914-T1,2748.33,2242.92,2262.42,17419.33,1623,1659.5,3162.17,2787.75,1341.83
Tatro_003915-T1,465,371.5,583,3401.17,306.83,308.5,658.5,659.83,276.5
Tatro_003916-T1,684.33,551.83,719,6780.78,685.5,707.33,1001.5,905.33,512.33
Tatro_003917-T1,1006.5,920.83,1027,8065.5,806.83,826,1971.5,1583.5,879
Tatro_003918-T1,644.5,724,877.75,4298.5,552.5,590,1126,1023.33,633.33
Tatro_003919-T1,474.33,507.83,467.33,4228.5,368,428.5,992.75,982.17,477.5
Tatro_003920-T1,459.83,453,524.08,2862.33,380,346.17,733,659.5,369
Tatro_003921-T1,124.83,103,144.08,820,105.67,110.67,236.5,217.17,139
Tatro_003922-T1,1001,933.08,923.33,8127.67,806.83,915.58,1598.58,1459.5,756
Tatro_003923-T1,1014.5,784.58,1068.67,7654.17,735,690.33,1500,1457.08,741.5
Tatro_003924-T1,1652,1556.17,1715.67,7393.33,997.33,1056.33,1614.5,1474.5,833
Tatro_003925-T1,299.5,345.5,268.5,3180.92,345.5,356.5,697.08,678.83,361
Tatro_003926-T1,627.67,712.33,867.83,3848.5,545.5,598,640.5,547.5,286.5
Tatro_003927-T1,364.5,332.5,390,1251.25,141.25,144.5,426.5,392,184
Tatro_003928-T1,120,107.5,110.5,975.83,95,100.5,164,146.5,81
Tatro_003929-T1,360,265,274,2156.33,152,168.83,373.5,369,167
Tatro_003930-T1,1522.5,1488.33,1444.33,14734.92,1240.83,1289.17,2331.17,2178.42,925
Tatro_003931-T1,355.83,399,353.17,3135.67,320,288.5,471.5,454.5,258.5
Tatro_003932-T1,643,540.17,619,6059.33,541,563,1087.5,1034,443.83
Tatro_003933-T1,594.2,506,585.5,5219.25,441.5,452,740,626.5,324
Tatro_003934-T1,3339.37,2856.67,1824,31844.12,2364.33,2571.08,3025.42,2648.33,1407
Tatro_003935-T1,768.5,786,416.33,7662.75,566.33,538.5,707.5,574.83,281
Tatro_003936-T1,58,64.5,53.5,447.5,63,64,103,99,57
Tatro_003937-T1,481.5,491.17,486.33,4918,422,513.83,618.5,618.67,307
Tatro_003938-T1,272.5,243,170,1928.5,228.33,252,345.5,314.5,189.5
Tatro_003939-T1,15,13.5,10,396.17,38.5,52.5,27.5,26,17.5
Tatro_003940-T1,15,12.5,6,195.67,19.5,17,28.5,33.5,10.5
Tatro_003941-T1,16.5,10,8,265.5,24.5,25,28,37,24
Tatro_003942-T1,13,6,8,32.5,2,3,8,8,1
Tatro_003943-T1,640,632.33,631,7090.42,638.17,603,856.5,853.5,384
Tatro_003944-T1,113,102,99.5,829.33,100.5,104,142.5,124.5,46
Tatro_003945-T1,166.5,108.5,120.5,2193.17,159.5,137.5,326.33,318.33,141
Tatro_003946-T1,363.5,305.83,286.33,3772,266.5,320,508,489,212
Tatro_003947-T1,6,14,11,33.5,4,7,10.5,11,2
Tatro_003948-T1,7,3,3,33.5,4,3,7,18,12
Tatro_003949-T1,438.67,552.75,419.5,4583.15,386.67,423.2,384.17,383.33,161.17
Tatro_003949-T2,438.67,552.75,419.5,4583.15,386.67,423.2,384.17,383.33,161.17
Tatro_003950-T1,729.33,826.83,819,6189.25,696.75,782.5,1358.83,1215.5,686.83
Tatro_003951-T1,1538.83,1338,1515.58,6063.17,943.33,987.5,1631.17,1308,843.33
Tatro_003952-T1,757.83,661.5,657.5,9506.87,851,855,1366,1252.5,662
Tatro_003953-T1,445.25,377,402.5,4553.5,453,477,675.33,615.5,290
Tatro_003954-T1,449.33,459.5,340,4542.5,434.5,450.33,748.5,685.5,355.33
Tatro_003955-T1,684.83,796,661.67,4280.92,646.5,739.5,1415,1333.83,773
Tatro_003956-T1,265.5,328,305,2027,207,262,408.33,311,144
Tatro_003957-T1,36.5,46.17,44.67,239.67,29,44.5,69,52,32
Tatro_003958-T1,113.5,165.67,142.17,738.17,93,106,189,201,84.5
Tatro_003959-T1,829,866.5,800,8682.17,828.5,985.5,1830.25,1774.83,823
Tatro_003960-T1,356.5,351,382.5,3772.83,338.5,346.5,410,400,190.5
Tatro_003961-T1,631,599,771,6161.42,633.58,744,1136.5,1151,555.5
Tatro_003962-T1,3023.42,2479.25,2874.08,27046.37,2315.08,2419.67,5194,4702.33,2109.08
Tatro_003963-T1,4054.5,3771.08,4132.5,31217.85,2793.92,3105.67,5179,4729.17,2266.5
Tatro_003964-T1,527,567.75,684,5229.17,575.5,593.5,1185,1053,569.5
Tatro_003965-T1,249.33,241,298.5,2093.08,201,247.5,696,620.5,312
Tatro_003966-T1,185,168.83,182.5,1403,184,189.5,693.83,628.17,316
Tatro_003967-T1,5307.17,3917.33,7319,125330.6,10395,11907.75,31945.83,32365,15548.58
Tatro_003968-T1,203,226.5,236.5,1928.75,200.5,226,428,368.5,185
Tatro_003969-T1,292,257.75,311.33,2629.58,248,267.5,488.5,495,232.25
Tatro_003970-T1,1152.67,1177.5,1041,9146.5,882.5,885.83,1447.5,1444.83,650.5
Tatro_003971-T1,894,789.83,874.33,5341.83,620.83,626.33,1200,1021.5,545.5
Tatro_003972-T1,3114.93,3080.99,3761.33,21274.49,2494.95,2678.58,3832.08,3408.37,1794.53
Tatro_003972-T2,3114.93,3080.99,3761.33,21274.49,2494.95,2678.58,3832.08,3408.37,1794.53
Tatro_003974-T1,710.5,699.83,1068.83,4484.17,589,598,886.33,827.33,499
Tatro_003975-T1,1464,1350.83,1597.08,13554.33,1248.5,1353.5,2850.83,2759,1260.5
Tatro_003976-T1,270.5,219.5,306.5,1936.75,169.5,197,636,578.83,246.5
Tatro_003977-T1,1167.83,930.2,909.5,10975.62,804.75,861.83,2815.33,2714,1124
Tatro_003978-T1,1163.33,1096.25,1259.83,11242.33,1075.5,1202.5,2209.67,2046.83,1004.5
Tatro_003979-T1,6226.17,5603.5,5949.75,56528.87,5074.37,5359.67,14455.5,13462.67,6123.17
Tatro_003980-T1,228.5,197.33,177.5,1515.83,157.5,172.83,283,271.83,129.5
Tatro_003981-T1,2981.83,2519.67,2843.83,23832.25,2252.83,2291.5,5522.08,4847.28,2256.5
Tatro_003982-T1,2,0,2,14,4,1,5,7,3
Tatro_003983-T1,2972.33,2506.75,2646.58,18185.33,1667.67,1825.33,4289.83,3853.5,1971.67
Tatro_003984-T1,110,129,148.5,934.83,102.5,114.5,167.5,154,75.5
Tatro_003985-T1,629,571.08,597,5600.7,501.83,524.83,1069,1049.83,443.5
Tatro_003986-T1,271,267,282.75,1772.75,196,205.5,383.25,404,198
Tatro_003987-T1,1431.5,1360.17,1621.67,14843.08,1375.5,1557.5,2748.25,2819.33,1345.25
Tatro_003988-T1,20052.92,20453.75,25956.7,183111.5,16681.92,19531.82,29039.08,26938.42,15623.58
Tatro_003989-T1,13356.62,10281.82,15022.78,91500.98,8633.98,9901.35,16113.53,14456.42,7645.08
Tatro_003990-T1,7931.12,9118.82,12039.58,57274.94,7637.32,8127.77,11934.87,10522.17,5856.42
Tatro_003991-T1,4140.92,3904.25,4064.33,34207.83,3366,3619.5,8104.53,7371.25,3775.58
Tatro_003992-T1,826.33,963.17,956,8752.75,851,978.33,2639.33,2510.58,1272.75
Tatro_003993-T1,3146.33,4478,5439.5,17953.83,3713.95,3972,5632.33,5125.58,2983.58
Tatro_003994-T1,3783.17,3520.58,4396.25,36141.83,3177.08,3233,5751.33,5928.87,2683.5
Tatro_003995-T1,1861.5,1860.75,2109.83,14922.53,1622.67,1889.2,3296.67,3356.5,1803
Tatro_003996-T1,767.5,680.5,675.83,7313.5,657.83,680.83,1576.5,1289.83,607.5
Tatro_003997-T1,762,817,1016.5,5903.08,632.5,709,1196.25,1164.33,644.5
Tatro_003998-T1,1230,1312.67,1449.75,13960.83,1300.67,1465.33,2362.7,2357.5,1120
Tatro_003999-T1,868,767,737,6308.75,495.5,638,3290.53,3158.33,1458.75
Tatro_004000-T1,843.5,788.33,866.83,7760,722.5,784.5,1415,1350.83,685
Tatro_004001-T1,209,196.83,189,2848.08,224.5,268.5,487,427,201.5
Tatro_004002-T1,283,285.5,251,1881.5,250.5,256.5,390.5,328.5,165
Tatro_004003-T1,1985,1802.25,1989,18255.33,1513.33,1629.17,3225.33,3114.17,1373.5
Tatro_004004-T1,15900.92,13591.32,14222.25,102883.1,8754,9338.25,19471.17,17719.5,7927.67
Tatro_004005-T1,393.5,373.5,312.5,3085.83,250.5,321,526.17,496.5,231
Tatro_004006-T1,182.33,199,155.5,990.7,119.5,112.5,183.33,179.5,86.5
Tatro_004007-T1,439,497.5,516.83,3232,349,413.5,675,626.83,317.25
Tatro_004008-T1,2346.33,2111.67,2348.17,20763.17,1730,1901.5,3903.83,3556.33,1644.67
Tatro_004009-T1,1242.83,1091.37,1216.75,13684.42,1044.58,1230.5,2305.33,2279,999
Tatro_004010-T1,2963.5,3314.33,3317.67,20210.75,2373.67,2711.17,4245.67,3986.33,2124
Tatro_004011-T1,1882.33,1643.17,1769.17,14486.73,1171.5,1279,2164.83,2231.83,1070.83
Tatro_004012-T1,2554.75,2413.17,2490.2,19948.2,1863.08,1993.75,3981.25,3768.33,1714.58
Tatro_004013-T1,762.75,802.67,839.62,7570.36,655.42,734.75,1460.75,1365.33,602.08
Tatro_004014-T1,3733,3402.5,3559.33,29115.95,2621.42,2759,5993.75,5683,2566
Tatro_004015-T1,1251.58,1375,1141.33,9166.37,991.67,1079.17,2500.5,2433.33,1087.5
Tatro_004016-T1,465.33,451.5,438.83,3282.78,329.33,381.5,883.33,954.08,400.33
Tatro_004017-T1,561.08,548.33,516.5,4435.92,452.33,461.83,1183.58,1150.08,548.83
Tatro_004018-T1,723.33,596.5,644,6132.92,557.83,637.5,1432.5,1459.33,609
Tatro_004019-T1,1320.33,1267.83,982.67,15476.67,1246.5,1380.33,1962.83,1907.5,846
Tatro_004020-T1,1123.17,1098.33,762.83,13558.33,1097,1180.92,1476.67,1502.42,684
Tatro_004021-T1,798.83,702.83,835.17,9859.57,849.33,880.33,1752,1593.17,692
Tatro_004022-T1,1136.75,975,1155.67,11882.2,1059.83,1028.33,2001,1922.5,842.5
Tatro_004023-T1,12904.92,12537.5,13410.33,121281.3,10529.92,11630.12,20826.42,20030.83,8495.83
Tatro_004024-T1,1081.33,965,1141.5,9954.25,837.75,941.5,1819.92,1811.83,787.25
Tatro_004025-T1,5971.17,5470.83,5755.33,50491.5,4168.42,4481.58,9984.5,9563.78,4201.25
Tatro_004026-T1,2076.5,1957.08,2131.33,14313.37,1535.5,1789.75,3273.83,2970.5,1550.83
Tatro_004027-T1,141,177.5,188.25,1575.17,183.5,205,301,303.5,186
Tatro_004028-T1,218.5,218.5,255.75,3217.82,214,250,819,728.25,319
Tatro_004029-T1,212.5,192,230,4038.42,341.5,398.5,476.83,410.2,183.5
Tatro_004030-T1,3457,3301.5,3130,28050.95,2935.25,3215.08,5797.83,5105.17,2454.83
Tatro_004031-T1,591.5,568.5,560.83,4829.96,456.5,492.2,1048.25,966,412.5
Tatro_004032-T1,25,34.5,23,99.5,15.33,19,25,18.5,20
Tatro_004033-T1,1677,1627.08,1587.5,14960.33,1305.67,1373.17,2031.25,1983.5,916.5
Tatro_004034-T1,624.33,507,594.5,6296.83,501,553,936.25,729.33,416.5
Tatro_004035-T1,551.5,446.5,490,3302,257,254,605.5,585.75,262.5
Tatro_004036-T1,486,534.33,463.83,3463.33,485.75,580.5,982,803.17,466
Tatro_004037-T1,27.5,12,18.5,353.5,14.5,19.5,35.5,40.5,17
Tatro_004038-T1,0,0,0,485.83,34,44.5,116,126,79
Tatro_004039-T1,8,5,9,622.58,75.5,70.5,120.5,151,53.5
Tatro_004040-T1,522,449.5,396.83,53544.9,4678.83,4716.58,7721.33,6586.2,3292.17
Tatro_004041-T1,307.83,291,302,1907.5,224,252,493,420.5,219
Tatro_004042-T1,92.75,112.5,77.5,3219.08,281.33,290,416.5,368.33,163
Tatro_004043-T1,96,103.83,76.5,2071,259.33,283.25,359.5,267.67,159.5
Tatro_004044-T1,2590.17,2278.58,2388.58,19531.33,2028,2199,4183.33,3716.5,1847
Tatro_012406-T1,489.83,652.5,1155,3762.5,455.12,452.33,780.17,659.25,354.5
Tatro_004045-T1,54627.62,58597.74,94498.75,309433,46970.48,48549.08,72835,66720.17,39248.2
Tatro_004046-T1,560.17,457.67,575.33,3041,373.33,376.5,764.17,646.42,342.33
Tatro_004047-T1,761.83,627,735.03,6861.83,560.83,614.5,1144.5,1082.75,506
Tatro_004048-T1,3249.67,3678.42,3972.08,24052,2874.33,3096.75,5070.53,4964.33,2629.5
Tatro_004049-T1,144,100,158,1595.5,108,112.5,314,293,129.5
Tatro_004050-T1,34,28.5,75.5,336,30,22.25,76,59.5,30
Tatro_004051-T1,1299.83,1364.08,1251.5,17790.92,1694.67,1786.83,2673.25,2534.92,1312
Tatro_004052-T1,153.5,128.5,193,1722.5,209.83,219.33,195.08,189.5,82
Tatro_004053-T1,456.5,654.83,360,20179.98,2021.33,2321.17,9709.83,9112.33,4952.33
Tatro_004054-T1,2,1,2,9,3,1,2,6.5,0
Tatro_004055-T1,1658.67,2266.5,1599.92,124800.2,10483.17,11063.83,51607.58,45800.33,24083.5
Tatro_004056-T1,131.5,175,172.5,13528.25,1185.5,1249,607.83,581.33,241.5
Tatro_004057-T1,152.62,134,181.5,1003.67,89.5,81.5,207,216.83,97.5
Tatro_004058-T1,7.5,12.5,13.5,49.5,6,6,33,11,5.5
Tatro_004059-T1,1203.5,1400.5,1389.5,20398.25,2092.08,2308.33,3126.7,3005.83,1516.83
Tatro_004060-T1,45.5,96.5,43.5,4870.92,398,448.5,1331,1273,563.5
Tatro_004061-T1,545.67,526.25,506,4972.17,528.25,628,987.5,849,387
Tatro_004062-T1,2185.25,1734.08,2265.08,26910.17,2050.33,2080.83,4571.83,4520.33,1944.5
Tatro_004063-T1,1272,1071.83,1087.5,18169.88,1308,1507.67,2974.17,2866.58,1299.5
Tatro_004064-T1,173.5,137.5,194.5,2982.25,215.83,226.83,370.83,428.83,164.5
Tatro_004065-T1,154.5,133.5,94,7739.25,588.5,656.08,571.83,508.83,233
Tatro_004066-T1,29,15,18,172.5,20.5,22,30,39,26
Tatro_004067-T1,347,410.33,413.33,3394.17,393.5,375.5,542.5,496.33,289.5
Tatro_004068-T1,263.5,232.83,262.5,2185.33,169.5,208.5,381.5,330.33,146
Tatro_004069-T1,4798.17,6244.03,8281.75,23763.89,4357.25,4520.5,6210.75,5484.92,3347
Tatro_004070-T1,702.67,1903.08,88,20368.45,2906.42,3370.33,672.58,554.83,297.83
Tatro_004071-T1,1201,2646.92,107.5,29358.37,4081.75,4770.83,969.58,852.83,447
Tatro_004072-T1,156.5,195,128.33,1380.42,162.5,127.5,210,184.5,93.5
Tatro_004073-T1,5,9,6,67,8.33,13,19,17,13
Tatro_004074-T1,111,119.83,140.83,1067.5,89.83,106,172,171,73
Tatro_004075-T1,206.33,176.5,239.67,1399.33,200.83,225.83,325.17,302.58,181.83
Tatro_004076-T1,505.33,419,474,3933.2,423.17,470.83,759.17,642.83,380.83
Tatro_004077-T1,823.5,714.33,647.58,8632.92,704,739.5,1254.83,1180.08,526
Tatro_004078-T1,106,153,91.5,772.25,84,109,112.5,109,56
Tatro_004079-T1,7618.5,7464.53,7978,53223.15,5158,4997.33,7885.33,7407.17,4010
Tatro_004080-T1,274.5,204.5,276.5,2803,207,212.5,482.75,465.5,216
Tatro_004081-T1,1228.83,1433,1505,9308.58,1122.83,1231,2011.67,1640.5,910.25
Tatro_004082-T1,541.5,463,493.83,4389.25,456.5,472.33,1013.5,917,431
Tatro_004083-T1,26,23,32,161,21,19,48,40,26.5
Tatro_004084-T1,243,224.5,231.5,2286.92,236.5,246,424.28,421.5,192.5
Tatro_004085-T1,380.83,392.75,330.67,3391.58,322.5,334.5,725.75,636,363.5
Tatro_004086-T1,544.67,520.5,604,5200.92,563.33,621,1536.5,1318.5,742.33
Tatro_004087-T1,205.83,223.5,242,2275.46,243,251.5,299,285.5,133
Tatro_004088-T1,78.5,57.5,51,100.5,19,13,25,16,15
Tatro_004089-T1,337.5,248,190,586,43,54.83,36.5,24.5,15
Tatro_004090-T1,4768,3781.33,4101.83,22985.08,2030.83,2189,4424,4136.67,1760.83
Tatro_004091-T1,26.5,28,26.5,205,13.5,18.5,43,36.5,12.5
Tatro_004092-T1,2007.33,1904.58,1938.83,8939.2,1040.67,1074.58,2455.5,2356.33,1207.33
Tatro_004093-T1,420.5,429.5,396.33,888.17,98.5,79.5,73.5,79.5,36
Tatro_004094-T1,1431.83,1274.33,1462.5,10283.25,951.25,899.5,1923.83,1813,834.5
Tatro_004095-T1,293.83,356.5,377.5,2092.67,297,336,556.33,481,262.5
Tatro_004096-T1,425.5,325.17,434.5,2200.5,284,333.83,436,390.5,198
Tatro_004097-T1,398.5,268.83,319,1606.67,165.5,171.5,284.83,202.33,126
Tatro_004098-T1,1896.42,1609.5,1980.5,17595.75,1437.33,1445.5,3102.08,2949.5,1439.83
Tatro_004099-T1,1534.5,1143.5,1528.5,6515.83,617.5,630,1714.92,1414.67,783.5
Tatro_004100-T1,3194.58,2828.17,3535.5,20597.28,2679.42,2798.5,7201,6284.03,3157.5
Tatro_004101-T1,34,46.5,47,289.33,31,42.5,56,70.5,39.5
Tatro_004102-T1,1684.5,1544.5,1494.75,12792.92,1423.17,1491,6831.5,6052.67,3162.17
Tatro_004103-T1,68.83,87,82.5,613,66,73.5,178.5,160,81
Tatro_004104-T1,530.83,516.5,374,7486.5,738.5,805.83,1709,1655.83,886.75
Tatro_004105-T1,32.5,37,27,222,27,36,82,85,56
Tatro_004106-T1,184,208.33,251.33,2501.33,265.5,283.5,267.75,234.5,118
Tatro_004107-T1,573.83,528.14,583.33,6311.92,634.5,598.5,1098.5,986.17,435.5
Tatro_004108-T1,558.5,464.5,472,2954.33,237,255.83,522.5,440.83,216
Tatro_004109-T1,687.5,678.5,766,4486.08,576.25,596.5,914.67,785.83,423.5
Tatro_004110-T1,82,126.5,193,592.33,131.17,144,224.5,229.5,114
Tatro_004111-T1,368.5,316,388.5,5362.83,561.67,546.25,1306,1146.33,565.5
Tatro_004112-T1,575.5,490.33,546.33,5659.25,391.5,423,787.5,723.33,292.83
Tatro_004113-T1,216.5,188.5,191.5,5110.67,443,495,1046.5,936,519.5
Tatro_004114-T1,1229.75,716.67,915.67,15436.67,871.33,1033.83,2667.58,2308.17,959.5
Tatro_004115-T1,1510.5,1623.17,1802.92,11303.42,1185,1336.42,2392.33,2133.83,1147
Tatro_004116-T1,213,184,281.83,5327.33,555.5,562,879.67,741.5,386
Tatro_004117-T1,16.5,11.5,18,65,9,10,19.83,23,4
Tatro_004118-T1,190.75,167,216.5,1666.67,175,168,338.5,319,146
Tatro_004119-T1,683,608.7,767,5774.42,505.33,569.33,1379.5,1317.58,644
Tatro_004120-T1,2888.5,2280,3147.67,24629.67,2100.17,2168.83,3219.75,2867.58,1622
Tatro_004121-T1,239.5,226,308.5,1038,228,226.5,380.12,305.5,206.33
Tatro_004122-T1,1980.42,1747.75,2061,13507.25,1145.46,1294.83,3122.83,2827,1456
Tatro_004123-T1,98.5,130,103,1549.17,187.5,201,525,473.75,260.5
Tatro_004124-T1,589.5,500,645.33,4639.25,425,490.83,1031.33,942.5,479.67
Tatro_004125-T1,2393.08,2293.33,2702,20568.53,2020.17,2101.33,3606,3472.17,1696.5
Tatro_004126-T1,789.83,877.33,972.17,6323.42,779.75,832.17,958.5,960,463.5
Tatro_004127-T1,566,656.92,625,6334.17,654.5,683,1695.33,1750.83,819.83
